epoch,accuracy,learning_rate,loss,val_accuracy,val_learning_rate,val_loss
0,0.48784366250038147,9.999999747378752e-05,0.011220335029065609,NA,NA,NA
1,0.4996591806411743,9.960573515854776e-05,0.010949824005365372,NA,NA,NA
2,0.4987502694129944,9.842915460467339e-05,0.010925664566457272,NA,NA,NA
3,0.5071574449539185,9.648881678003818e-05,0.010885413736104965,NA,NA,NA
4,0.5089752078056335,9.3815331638325e-05,0.010860689915716648,NA,NA,NA
5,0.4935241937637329,9.045084152603522e-05,0.01088800374418497,NA,NA,NA
6,0.4951147437095642,4.322421591496095e-05,0.010870067402720451,NA,NA,NA
7,0.505794107913971,8.187119965441525e-05,0.01085504237562418,NA,NA,NA
8,0.5030674934387207,7.679132977500558e-05,0.010849930346012115,NA,NA,NA
9,0.5080663561820984,7.128896686481312e-05,0.01084485836327076,NA,NA,NA
10,0.5069302320480347,6.545085489051417e-05,0.01082883682101965,NA,NA,NA
11,0.5017041563987732,5.93690674577374e-05,0.010841689072549343,NA,NA,NA
12,0.5026130676269531,5.313953079166822e-05,0.01084999367594719,NA,NA,NA
13,0.5160191059112549,4.6860477596055716e-05,0.010820776224136353,NA,NA,NA
14,0.5107930302619934,2.0315468646003865e-05,0.010830000974237919,NA,NA,NA
15,0.5092024803161621,3.454914622125216e-05,0.010830236598849297,NA,NA,NA
16,0.4969325065612793,2.871103788493201e-05,0.010845844633877277,NA,NA,NA
17,0.5246534943580627,2.3208660422824323e-05,0.010819453746080399,NA,NA,NA
18,0.5096569061279297,1.812879963836167e-05,0.010833888314664364,NA,NA,NA
19,0.5060213804244995,6.775788733648369e-06,0.01083311252295971,NA,NA,NA
20,0.5044308304786682,9.549155038257595e-06,0.010827681981027126,NA,NA,NA
21,0.5155646204948425,6.184676294651581e-06,0.010826487094163895,NA,NA,NA
22,0.5032947063446045,3.511182057991391e-06,0.010829458013176918,NA,NA,NA
23,0.5069302320480347,1.5708485534560168e-06,0.010824545286595821,NA,NA,NA
24,0.5107930302619934,1.971369130160383e-07,0.010826625861227512,NA,NA,NA
25,0.5139740705490112,9.999999747378752e-05,0.010839100927114487,NA,NA,NA
26,0.5001136064529419,9.990133548853919e-05,0.010862456634640694,NA,NA,NA
27,0.5048852562904358,9.960573515854776e-05,0.010850522667169571,NA,NA,NA
