Ativo,ARIMA,Drift,Naive,Prophet
ITUB4,0.9435,0.7133,0.6884,0.6636
PETR4,0.6635,0.7191,0.9663,0.1271
VALE3,0.9208,0.7817,0.1929,0.5573
