fold,accuracy_direcional,f1_score,mcc,proba_mean,proba_std
1,0.4716417910447761,0.5968109339407744,-0.019033878161569276,0.5101664662361145,0.011439317837357521
2,0.5,0.6666666666666666,0.0,0.5137529969215393,0.003692416939884424
3,0.5133079847908745,0.6577540106951871,0.04320311681983886,0.5120431780815125,0.007360282354056835
4,0.5068493150684932,0.03571428571428571,-0.05060665228806047,0.48724886775016785,0.006489492952823639
5,0.5681818181818182,0.7246376811594203,0.0,0.5068742632865906,0.0021595957223325968
