Ativo,ARIMA,Drift,Naive,Prophet
ITUB4,0.0000***,0.0000***,0.0000***,0.0000***
PETR4,0.0000***,0.0000***,0.0000***,0.0000***
VALE3,0.0000***,0.0000***,0.0000***,0.0000***
