Ativo,ARIMA,Drift,Naive,Prophet
ITUB4,0.3977,0.3977,0.3977,0.1174
PETR4,0.3113,0.3173,1.0000,0.1085
VALE3,0.6420,0.7247,0.9687,0.1993
