fold,accuracy_direcional,f1_score,mcc,proba_mean,proba_std
1,0.5189873417721519,0.0,0.0,0.4620148837566376,0.004552378319203854
2,0.49836065573770494,0.0,0.0,0.35364633798599243,0.009736858308315277
3,0.519298245614035,0.0,0.0,0.4036965072154999,0.005842654500156641
4,0.5555555555555556,0.0,0.0,0.44379353523254395,0.002952505135908723
5,0.45588235294117646,0.0,0.0,0.4369088113307953,0.004382967948913574
