Ativo,ARIMA,Drift,Naive,Prophet
ITUB4,0.7056,0.7056,0.7056,0.6041
PETR4,0.7196,0.7196,1.0000,0.4766
VALE3,0.5379,0.5180,0.6110,0.6825
