fold,accuracy_direcional,accuracy,f1_score,mcc
1,0.5189873417721519,0.5189873417721519,0.0,0.0
2,0.49836065573770494,0.49836065573770494,0.0,0.0
3,0.5298245614035088,0.5298245614035088,0.04285714285714286,0.10720292801271403
4,0.5555555555555556,0.5555555555555556,0.0,0.0
5,0.45588235294117646,0.45588235294117646,0.0,0.0
