Ativo,Baseline,Regime,N_obs,Perda_media_CNN,Perda_media_Baseline,Diferenca_perda,DM_statistic,DM_pvalue
PETR4,Naive,geral,1390,0.481294964028777,0.49640287769784175,-0.015107913669064776,-0.7155524485111066,0.4742677443093197
PETR4,Naive,baixa_vol,695,0.4848920863309353,0.48633093525179855,-0.001438848920863267,-0.04218970213769954,0.966347471756027
PETR4,Naive,alta_vol,695,0.4776978417266187,0.5064748201438849,-0.028776978417266175,-1.1549779439179997,0.24809945867869798
PETR4,Naive,brier,1390,0.2500449073163884,0.49640287769784175,-0.24635797038145335,-17.831083322548114,0.0
PETR4,Drift,geral,1390,0.481294964028777,0.5014388489208633,-0.02014388489208635,-1.0449852975847427,0.2960297647168355
PETR4,Drift,baixa_vol,695,0.4848920863309353,0.4920863309352518,-0.007194244604316502,-0.3596823758927455,0.7190846731849099
PETR4,Drift,alta_vol,695,0.4776978417266187,0.5107913669064749,-0.03309352517985614,-1.0038078052299881,0.31547126149943194
PETR4,Drift,brier,1390,0.2500449073163884,0.5014388489208633,-0.2513939416044749,-19.05229007183188,0.0
PETR4,ARIMA,geral,1390,0.481294964028777,0.5021582733812949,-0.020863309352517956,-1.0846073131827263,0.2780956146007991
PETR4,ARIMA,baixa_vol,695,0.4848920863309353,0.4935251798561151,-0.008633093525179825,-0.4350317862196244,0.6635393553844346
PETR4,ARIMA,alta_vol,695,0.4776978417266187,0.5107913669064749,-0.03309352517985614,-1.0038078052299881,0.31547126149943194
PETR4,ARIMA,brier,1390,0.2500449073163884,0.5021582733812949,-0.25211336606490653,-19.111042654198236,0.0
PETR4,Prophet,geral,1390,0.481294964028777,0.5143884892086331,-0.03309352517985614,-1.808526100401941,0.07052465837172917
PETR4,Prophet,baixa_vol,695,0.4848920863309353,0.5194244604316547,-0.03453237410071941,-1.5254557750281121,0.1271454562516714
PETR4,Prophet,alta_vol,695,0.4776978417266187,0.5093525179856115,-0.03165467625899282,-1.1001664642922007,0.27125959931622545
PETR4,Prophet,brier,1390,0.2500449073163884,0.5143884892086331,-0.2643435818922447,-19.923025444886267,0.0
VALE3,Naive,geral,1236,0.494336569579288,0.5016181229773463,-0.007281553398058305,-0.3257040324195834,0.7446482930326681
VALE3,Naive,baixa_vol,618,0.4854368932038835,0.5258899676375405,-0.04045307443365698,-1.3021803202350082,0.19285475099117066
VALE3,Naive,alta_vol,618,0.5032362459546925,0.4773462783171521,0.025889967637540423,0.805839661001415,0.42033530627615034
VALE3,Naive,brier,1236,0.25237317642250284,0.5016181229773463,-0.24924494655484347,-17.230737159988266,0.0
VALE3,Drift,geral,1236,0.494336569579288,0.49514563106796117,-0.0008090614886731573,-0.0797766024007937,0.936414933579639
VALE3,Drift,baixa_vol,618,0.4854368932038835,0.48058252427184467,0.004854368932038833,0.2771428626429967,0.78167041068453
VALE3,Drift,alta_vol,618,0.5032362459546925,0.5097087378640777,-0.006472491909385147,-0.6321482412881734,0.5272900148570323
VALE3,Drift,brier,1236,0.25237317642250284,0.49514563106796117,-0.24277245464545832,-18.392084564871638,0.0
VALE3,ARIMA,geral,1236,0.494336569579288,0.4967637540453074,-0.0024271844660194164,-0.25254987393904615,0.800616069243463
VALE3,ARIMA,baixa_vol,618,0.4854368932038835,0.48381877022653724,0.001618122977346259,0.09942397824092844,0.9208016452011638
VALE3,ARIMA,alta_vol,618,0.5032362459546925,0.5097087378640777,-0.006472491909385147,-0.6321482412881734,0.5272900148570323
VALE3,ARIMA,brier,1236,0.25237317642250284,0.4967637540453074,-0.24439057762280458,-18.560519601881065,0.0
VALE3,Prophet,geral,1236,0.494336569579288,0.5145631067961165,-0.02022653721682849,-1.018093741291587,0.30863340939350237
VALE3,Prophet,baixa_vol,618,0.4854368932038835,0.5032362459546925,-0.017799352750809017,-0.5868250346294216,0.5573212214315169
VALE3,Prophet,alta_vol,618,0.5032362459546925,0.5258899676375405,-0.02265372168284796,-0.8817583284409496,0.3779075109562806
VALE3,Prophet,brier,1236,0.25237317642250284,0.5145631067961165,-0.26218993037361366,-18.320173762068592,0.0
ITUB4,Naive,geral,1403,0.4903777619387028,0.49109052031361367,-0.0007127583749108601,-0.040844352768472834,0.9674199804453083
ITUB4,Naive,baixa_vol,702,0.5056980056980057,0.4928774928774929,0.01282051282051283,0.40105024646695403,0.6883831305546706
ITUB4,Naive,alta_vol,701,0.47503566333808844,0.4893009985734665,-0.01426533523537804,-1.020651103132629,0.3074197685701434
ITUB4,Naive,brier,1403,0.25380715510694424,0.49109052031361367,-0.23728336520666943,-17.957712184791212,0.0
ITUB4,Drift,geral,1403,0.4903777619387028,0.5131860299358517,-0.022808267997148912,-1.153335641750744,0.24877264627047357
ITUB4,Drift,baixa_vol,702,0.5056980056980057,0.5128205128205128,-0.00712250712250706,-0.3673807513020772,0.7133350275381747
ITUB4,Drift,alta_vol,701,0.47503566333808844,0.5135520684736091,-0.03851640513552068,-1.1165089378276623,0.2642043465233137
ITUB4,Drift,brier,1403,0.25380715510694424,0.5131860299358517,-0.2593788748289075,-18.900718406338953,0.0
ITUB4,ARIMA,geral,1403,0.4903777619387028,0.5089094796863863,-0.01853171774768353,-0.9168972430032475,0.35919648881909305
ITUB4,ARIMA,baixa_vol,702,0.5056980056980057,0.5071225071225072,-0.0014245014245014564,-0.07083786593264112,0.9435267948514692
ITUB4,ARIMA,alta_vol,701,0.47503566333808844,0.5106990014265336,-0.03566333808844513,-1.0164185359482267,0.3094301225065397
ITUB4,ARIMA,brier,1403,0.25380715510694424,0.5089094796863863,-0.2551023245794421,-18.54435387199224,0.0
ITUB4,Prophet,geral,1403,0.4903777619387028,0.5096222380612973,-0.019244476122594445,-0.9959071039374131,0.3192952833476217
ITUB4,Prophet,baixa_vol,702,0.5056980056980057,0.4943019943019943,0.01139601139601143,0.43489124861841505,0.6636413671303927
ITUB4,Prophet,alta_vol,701,0.47503566333808844,0.5249643366619116,-0.049928673323823114,-1.7592223932750528,0.07853974216113868
ITUB4,Prophet,brier,1403,0.25380715510694424,0.5096222380612973,-0.255815082954353,-18.94341616429178,0.0
