fold,accuracy_direcional,accuracy,f1_score,mcc
1,0.4716417910447761,0.4716417910447761,0.5968109339407744,-0.019033878161569276
2,0.5,0.5,0.6666666666666666,0.0
3,0.5133079847908745,0.5133079847908745,0.6577540106951871,0.04320311681983886
4,0.5068493150684932,0.5068493150684932,0.03571428571428571,-0.05060665228806047
5,0.5681818181818182,0.5681818181818182,0.7246376811594203,0.0
