Ativo,Baseline,N_Folds,N_Teste,accuracy,balanced_accuracy,f1_score,mcc,accuracy_direcional
VALE3,Naive,4,2352,0.5003641660597232,0.5064923480765064,0.5801713586291309,0.014230279251137486,0.5003641660597232
VALE3,Drift,4,2352,0.5040058266569556,0.5073291112895073,0.5475083056478405,0.015027146644164184,0.5040058266569556
VALE3,ARIMA,4,2352,0.5069191551347414,0.508982461952759,0.5321354526606773,0.01812950027046257,0.5069191551347414
VALE3,Prophet,4,2352,0.4865258557902403,0.4887886472044888,0.5161290322580645,-0.022676973999009416,0.4865258557902403
