fold,accuracy_direcional,accuracy,f1_score,mcc
1,0.5122549019607843,0.5122549019607843,0.0,0.0
2,0.4961832061068702,0.4961832061068702,0.0,0.0
3,0.47151898734177217,0.47151898734177217,0.0,0.0
4,0.5529953917050692,0.5529953917050692,0.0,0.0
5,0.5147058823529411,0.5147058823529411,0.0,0.0
