Ativo,ARIMA,Drift,Naive,Prophet
ITUB4,0.4322,0.4322,0.4322,0.0808
PETR4,0.1120,0.1017,1.0000,0.1230
VALE3,1.0000,0.8644,0.4961,0.1457
