Ativo,Baseline,N_Folds,N_Teste,accuracy,balanced_accuracy,f1_score,mcc,accuracy_direcional
PETR4,Naive,4,2352,0.5012853470437018,0.5015141677529353,0.39375,0.0032406948127889777,0.5012853470437018
PETR4,Drift,4,2352,0.4929305912596401,0.4923639025051092,0.6482389656709764,-0.03237548227623725,0.4929305912596401
PETR4,ARIMA,4,2352,0.5012853470437018,0.5006435006435006,0.6675235646958012,0.025391772758943047,0.5012853470437018
PETR4,Prophet,4,2352,0.4845758354755784,0.4843156011320324,0.5715811965811965,-0.034306509694455006,0.4845758354755784
