fold,accuracy_direcional,accuracy,f1_score,mcc
1,0.5204819277108433,0.5204819277108433,0.0,0.0
2,0.5115681233933161,0.5115681233933161,0.0,0.0
3,0.48464163822525597,0.48464163822525597,0.6528735632183909,0.0
4,0.5163398692810458,0.5163398692810458,0.6810344827586207,0.0
