fold,accuracy_direcional,f1_score,mcc,proba_mean,proba_std
1,0.5204819277108433,0.0,0.0,0.3983190655708313,0.008224963210523129
2,0.5115681233933161,0.0,0.0,0.477144718170166,0.0044709863141179085
3,0.48464163822525597,0.6528735632183909,0.0,0.5853545665740967,0.008546588011085987
4,0.5163398692810458,0.6810344827586207,0.0,0.5375692248344421,0.009318538941442966
