epoch,accuracy,learning_rate,loss,val_accuracy,val_learning_rate,val_loss
0,0.5030071139335632,9.999999747378752e-05,0.6958734393119812,NA,NA,NA
1,0.49343904852867126,9.999999747378752e-05,0.6950070261955261,NA,NA,NA
2,0.4811372458934784,9.999999747378752e-05,0.6956405639648438,NA,NA,NA
3,0.5035538673400879,9.999999747378752e-05,0.6941028833389282,NA,NA,NA
4,0.5002733469009399,9.999999747378752e-05,0.6938328146934509,NA,NA,NA
5,0.5095680952072144,9.999999747378752e-05,0.6935500502586365,NA,NA,NA
6,0.4866046905517578,9.999999747378752e-05,0.6946144700050354,NA,NA,NA
7,0.4928922951221466,9.999999747378752e-05,0.694324254989624,NA,NA,NA
8,0.49316567182540894,9.999999747378752e-05,0.6942815184593201,NA,NA,NA
9,0.49398577213287354,9.999999747378752e-05,0.6937630772590637,NA,NA,NA
10,0.49507927894592285,9.999999747378752e-05,0.6934401392936707,NA,NA,NA
11,0.5071077346801758,9.999999747378752e-05,0.6936310529708862,NA,NA,NA
12,0.4972662627696991,9.999999747378752e-05,0.6939318180084229,NA,NA,NA
13,0.4928922951221466,9.999999747378752e-05,0.69380122423172,NA,NA,NA
14,0.5030071139335632,9.999999747378752e-05,0.693601131439209,NA,NA,NA
15,0.5128485560417175,9.999999747378752e-05,0.6931614875793457,NA,NA,NA
16,0.5035538673400879,9.999999747378752e-05,0.6930493712425232,NA,NA,NA
17,0.4989064931869507,9.999999747378752e-05,0.6933835744857788,NA,NA,NA
18,0.4989064931869507,9.999999747378752e-05,0.6933940649032593,NA,NA,NA
19,0.5101147890090942,9.999999747378752e-05,0.6932119131088257,NA,NA,NA
20,0.5013668537139893,9.999999747378752e-05,0.6929985880851746,NA,NA,NA
21,0.5057408213615417,9.999999747378752e-05,0.6932362914085388,NA,NA,NA
22,0.5207763910293579,4.999999873689376e-05,0.692748486995697,NA,NA,NA
23,0.5079278349876404,4.999999873689376e-05,0.6929241418838501,NA,NA,NA
24,0.5183160305023193,4.999999873689376e-05,0.6924759745597839,NA,NA,NA
25,0.4948059022426605,4.999999873689376e-05,0.6927360892295837,NA,NA,NA
26,0.5057408213615417,4.999999873689376e-05,0.6927464008331299,NA,NA,NA
27,0.51749587059021,4.999999873689376e-05,0.6927101612091064,NA,NA,NA
28,0.5123018026351929,4.999999873689376e-05,0.6922729015350342,NA,NA,NA
29,0.5101147890090942,4.999999873689376e-05,0.6926652193069458,NA,NA,NA
30,0.5098414421081543,4.999999873689376e-05,0.6928638815879822,NA,NA,NA
31,0.5136686563491821,4.999999873689376e-05,0.6920055747032166,NA,NA,NA
32,0.5177692770957947,4.999999873689376e-05,0.6924290060997009,NA,NA,NA
33,0.5166757702827454,4.999999873689376e-05,0.6924486756324768,NA,NA,NA
34,0.5117550492286682,4.999999873689376e-05,0.6930105686187744,NA,NA,NA
35,0.5202296376228333,4.999999873689376e-05,0.6925507187843323,NA,NA,NA
36,0.5057408213615417,4.999999873689376e-05,0.6927284598350525,NA,NA,NA
37,0.5051940679550171,2.499999936844688e-05,0.692642331123352,NA,NA,NA
38,0.5202296376228333,2.499999936844688e-05,0.6927317976951599,NA,NA,NA
39,0.5161290168762207,2.499999936844688e-05,0.6923052668571472,NA,NA,NA
40,0.5210497379302979,2.499999936844688e-05,0.6923894286155701,NA,NA,NA
41,0.5180426239967346,2.499999936844688e-05,0.6924623847007751,NA,NA,NA
