data_hora,ativo,fold,estrategia,multiplicador_custo,retorno_liquido,sharpe_ratio,max_drawdown,profit_factor,turnover,n_trades,custo_total_reais,capital_final
20260211_113252,VALE3,1,long_short,0.5,-0.02321227295711302,-0.41984206740562224,-0.1465339094495588,0.9810735187880598,0.0,1,40.0,97678.7727042887
20260211_113252,VALE3,1,long_short,1.0,-0.023602179995627668,-0.43084508557124457,-0.1465339094495604,0.9805784003874539,0.0,1,80.0,97639.78200043723
20260211_113252,VALE3,1,long_short,1.5,-0.023992087034139405,-0.4418448340573582,-0.14653390944955955,0.9800832819868519,0.0,1,120.00000000000001,97600.79129658606
20260211_113252,VALE3,1,long_short,2.0,-0.024381994072648815,-0.452840991854084,-0.1465339094495584,0.9795881635862529,0.0,1,160.0,97561.80059273512
