data_hora,ativo,fold,estrategia,multiplicador_custo,retorno_liquido,sharpe_ratio,max_drawdown,profit_factor,turnover,n_trades,custo_total_reais,capital_final
20260202_183121,PETR4,2,long_only,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,100000.0
20260202_183121,PETR4,2,long_only,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100000.0
20260202_183121,PETR4,2,long_only,1.5,0.0,0.0,0.0,0.0,0.0,0,0.0,100000.0
20260202_183121,PETR4,2,long_only,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100000.0
