Configuração,Descrição,Treino (barras),Teste (barras),Embargo (barras),N_Folds,N_Teste,Acurácia Direcional,Accuracy,F1-Score,MCC
mais_permissivo,Configuração mais permissiva: embargo mínimo,6552,546,1,5,2388,0.5050196420776953,0.5050196420776953,0.31521739130434784,0.0021419569272338847
principal,Configuração principal escolhida a priori,6552,546,5,5,2368,0.5123239436619719,0.5123239436619719,0.6115007012622721,0.041173869695191406
mais_conservador,Configuração mais conservadora: embargo maior,6552,546,10,5,2343,0.5169189670525378,0.5169189670525378,0.3214509068167605,0.021799895783264748
mais_treino,Mais dados de treino: 1.5 anos,9828,546,5,3,1638,0.47591522157996147,0.47591522157996147,0.5420875420875421,-0.035952273316230486
embargo_dia,Embargo de 1 dia completo (máxima separação),6552,546,26,5,2263,0.5076142131979695,0.5076142131979695,0.31994901210962395,-0.006194837555226177
