Configuração,Descrição,Treino (barras),Teste (barras),Embargo (barras),N_Folds,N_Teste,Acurácia Direcional,Accuracy,F1-Score,MCC
mais_permissivo,Configuração mais permissiva: embargo mínimo,6552,546,1,5,2399,0.49770009199632015,0.49770009199632015,0.5721003134796239,0.0011629375537820575
principal,Configuração principal escolhida a priori,6552,546,5,5,2379,0.5004633920296571,0.5004633920296571,0.6054172767203514,0.008916782709188466
mais_conservador,Configuração mais conservadora: embargo maior,6552,546,10,5,2354,0.4955503512880562,0.4955503512880562,0.47489029741589467,-0.009756569676035632
mais_treino,Mais dados de treino: 1.5 anos,9828,546,5,3,1638,0.49690721649484537,0.49690721649484537,0.3920265780730897,-0.011610827977738394
embargo_dia,Embargo de 1 dia completo (máxima separação),6552,546,26,5,2274,0.49757516973811833,0.49757516973811833,0.4835493519441675,-0.005456517038618462
