data,ticker,cod_bdi,preco_ab,preco_max,preco_min,preco_med,preco_fech,qtd_neg,qtde_tit,vol_fin
2021-07-02,VALE3,02,112.0,113.62,111.58,112.96,113.58,53453,19688800,2224096685.0
2021-07-05,VALE3,02,113.9,113.96,112.28,113.04,113.17,43295,13732900,1552432735.0
2021-07-06,VALE3,02,113.5,114.35,112.67,113.71,113.77,53611,19028000,2163750912.0
2021-07-07,VALE3,02,114.81,115.58,114.0,114.78,114.1,62972,21460000,2463209380.0
2021-07-08,VALE3,02,112.02,114.51,111.5,113.07,113.66,58886,21824500,2467696409.0
2021-07-12,VALE3,02,115.31,116.3,115.0,115.64,115.07,62794,22333300,2582726137.0
2021-07-13,VALE3,02,115.1,115.91,114.85,115.49,115.75,43169,12698500,1466578900.0
2021-07-14,VALE3,02,116.26,116.43,114.44,115.3,115.12,62859,19483600,2246592471.0
2021-07-15,VALE3,02,114.99,116.16,114.5,115.41,115.48,66838,18236100,2104766539.0
2021-07-16,VALE3,02,115.34,115.87,113.0,113.83,113.4,52729,19576800,2228488656.0
2021-07-19,VALE3,02,112.0,112.16,110.21,111.07,112.16,59591,18644300,2070984548.0
2021-07-20,VALE3,02,112.16,113.12,110.21,112.29,113.1,40838,13066600,1467326354.0
2021-07-21,VALE3,02,112.76,114.87,112.5,114.26,114.4,64251,19607100,2240481337.0
2021-07-22,VALE3,02,113.68,114.7,112.69,113.72,114.7,42834,12083800,1374219614.0
2021-07-23,VALE3,02,113.62,114.49,112.8,113.64,114.12,36358,13163300,1495949420.0
2021-07-26,VALE3,02,114.44,116.85,114.44,116.07,116.6,45295,16419900,1905895295.0
2021-07-27,VALE3,02,115.7,116.05,113.89,114.59,114.18,50143,22106500,2533238468.0
2021-07-28,VALE3,02,115.5,117.6,115.25,116.75,117.3,67924,25209200,2943269138.0
2021-07-29,VALE3,02,116.37,117.56,114.75,115.62,115.57,73902,30576800,3535459591.0
2021-07-30,VALE3,02,113.51,113.51,108.76,110.58,108.76,3347,41956700,4639637663.0
2021-08-02,VALE3,02,110.9,111.37,108.93,110.25,108.93,60649,23109400,2547814209.0
2021-08-03,VALE3,02,109.78,113.03,109.44,111.73,112.64,79100,36641400,4094288620.0
2021-08-04,VALE3,02,112.0,113.25,111.62,112.66,112.52,55405,18828200,2121357483.0
2021-08-05,VALE3,02,109.64,109.99,107.9,108.95,109.08,75956,32215200,3510065266.0
2021-08-06,VALE3,02,109.85,110.89,109.5,110.21,109.7,53102,19273100,2124238159.0
2021-08-09,VALE3,02,108.2,109.45,107.68,108.69,109.01,57710,21502300,2337204062.0
2021-08-10,VALE3,02,108.95,110.74,108.84,110.08,110.06,64739,17440500,1920006317.0
2021-08-11,VALE3,02,110.19,110.5,109.26,109.77,109.27,41697,14680600,1611516830.0
2021-08-12,VALE3,02,109.2,109.98,108.83,109.42,109.2,62936,14849500,1624961575.0
2021-08-13,VALE3,02,109.7,109.9,107.96,108.56,108.3,43662,11855200,1287084467.0
2021-08-16,VALE3,02,107.24,108.9,105.92,107.59,108.8,74934,21856700,2351776592.0
2021-08-17,VALE3,02,108.11,109.32,105.66,106.89,107.0,68107,23402600,2501505813.0
2021-08-18,VALE3,02,105.74,105.74,103.41,104.25,103.41,5509,35379200,3688444991.0
2021-08-19,VALE3,02,98.66,100.28,97.3,98.31,97.51,44828,60456900,5943790894.0
2021-08-20,VALE3,02,97.59,99.1,97.44,98.16,97.55,72962,31351100,3077494055.0
2021-08-23,VALE3,02,97.56,97.93,96.16,96.69,96.2,55168,19773500,1911930393.0
2021-08-24,VALE3,02,99.38,101.27,99.1,100.19,99.71,76517,29779200,2983869370.0
2021-08-25,VALE3,02,100.09,100.46,98.55,99.45,99.5,52528,15088600,1500616272.0
2021-08-26,VALE3,02,99.49,99.8,98.23,98.86,98.23,51147,18032300,1782773302.0
2021-08-27,VALE3,02,99.01,101.0,98.9,100.29,100.69,56689,19572800,1963106718.0
2021-08-30,VALE3,02,100.82,101.64,99.95,100.54,100.05,49207,13031600,1310213653.0
2021-08-31,VALE3,02,99.0,99.26,97.7,98.34,98.68,59150,20433600,2009442969.0
2021-09-01,VALE3,02,97.36,99.59,95.72,97.92,98.85,67470,20847500,2041468777.0
2021-09-02,VALE3,02,98.77,100.0,97.91,98.91,98.54,72594,24448600,2418367670.0
2021-09-03,VALE3,02,100.16,100.88,98.51,98.96,98.61,70548,38716500,3831566705.0
2021-09-06,VALE3,02,96.89,97.55,96.16,96.89,97.06,42001,11916100,1154618121.0
2021-09-08,VALE3,02,96.47,96.73,94.7,95.39,95.04,74408,22635100,2159361917.0
2021-09-09,VALE3,02,95.16,95.72,93.17,94.62,94.7,78672,28997700,2743909120.0
2021-09-10,VALE3,02,95.51,96.19,94.81,95.39,94.81,60586,18022000,1719245609.0
2021-09-13,VALE3,02,94.7,95.0,93.94,94.56,94.76,52122,18832800,1780883938.0
2021-09-14,VALE3,02,95.15,95.58,93.07,94.22,94.09,79537,25571600,2409555660.0
2021-09-15,VALE3,02,93.88,94.44,91.74,92.69,91.74,2514,35084400,3252128310.0
2021-09-16,VALE3,02,90.43,90.43,87.92,89.12,87.93,98526,39726500,3540434476.0
2021-09-17,VALE3,02,88.29,88.79,85.08,86.29,86.15,52958,74648800,6441557270.0
2021-09-20,VALE3,02,82.8,83.94,81.14,82.51,83.31,31121,49636100,4095820300.0
2021-09-21,VALE3,02,84.7,84.7,82.51,83.74,84.12,9389,32380300,2711778634.0
2021-09-22,VALE3,02,88.1,89.48,86.51,87.85,87.11,43917,62161000,5461384874.0
2021-09-23,VALE3,02,79.2,80.34,77.62,78.96,78.91,17709,47485400,3749772943.0
2021-09-24,VALE3,02,78.29,78.79,77.0,77.89,77.69,74207,26631600,2074457156.0
2021-09-27,VALE3,02,78.6,79.33,76.5,78.37,78.8,86827,38386300,3008487850.0
2021-09-28,VALE3,02,77.48,77.8,74.56,75.8,74.85,96496,35896000,2720991268.0
2021-09-29,VALE3,02,75.77,76.8,74.85,76.08,75.8,88894,39704900,3020961428.0
2021-09-30,VALE3,02,77.4,78.34,75.73,77.12,76.24,89557,39151000,3019625259.0
2021-10-01,VALE3,02,76.75,77.31,75.68,76.33,76.2,65851,23191700,1770370559.0
2021-10-04,VALE3,02,76.59,77.0,75.44,76.13,75.49,68200,25090000,1910166988.0
2021-10-05,VALE3,02,75.99,76.1,74.95,75.48,74.95,70654,21889400,1652390897.0
2021-10-06,VALE3,02,74.06,77.27,73.92,75.82,77.06,74020,27318400,2071355018.0
2021-10-07,VALE3,02,78.34,80.37,77.71,79.44,79.36,89636,33115300,2630732885.0
2021-10-08,VALE3,02,81.46,81.84,79.59,80.57,79.85,80289,37172600,2995193429.0
2021-10-11,VALE3,02,81.9,83.1,80.74,82.1,81.62,84017,28327900,2325803709.0
2021-10-13,VALE3,02,80.8,80.8,79.17,79.72,79.2,92740,32052800,2555290865.0
2021-10-14,VALE3,02,79.99,80.24,79.13,79.61,79.2,73847,24030000,1913115680.0
2021-10-15,VALE3,02,79.49,80.95,79.3,80.44,80.68,65713,26927200,2166085545.0
2021-10-18,VALE3,02,79.91,80.4,78.48,79.37,79.92,62080,20912800,1659865990.0
2021-10-19,VALE3,02,79.72,80.24,78.81,79.24,79.0,72441,20804500,1648666120.0
2021-10-20,VALE3,02,78.37,78.37,76.28,76.95,76.41,83079,27576600,2122231609.0
2021-10-21,VALE3,02,74.5,75.16,72.95,74.1,75.16,98693,37556500,2783080600.0
2021-10-22,VALE3,02,74.67,77.1,74.64,76.3,76.08,17154,35142600,2681703231.0
2021-10-25,VALE3,02,77.2,77.57,76.37,76.92,77.0,62237,17950000,1380724043.0
2021-10-26,VALE3,02,77.01,77.07,76.07,76.51,76.18,49145,16674100,1275844236.0
2021-10-27,VALE3,02,75.98,76.73,74.45,75.61,74.45,62465,20087300,1518815197.0
2021-10-28,VALE3,02,74.45,74.68,73.55,74.02,73.7,60512,22719000,1681827629.0
2021-10-29,VALE3,02,73.02,73.16,71.02,72.02,71.61,78086,30268500,2180003425.0
2021-11-01,VALE3,02,72.0,72.86,71.15,72.09,72.32,54386,19649600,1416683698.0
2021-11-03,VALE3,02,70.6,70.9,66.61,67.91,66.83,45308,77316900,5251022664.0
2021-11-04,VALE3,02,66.89,67.62,65.62,66.3,66.07,80801,30122100,1997128323.0
2021-11-05,VALE3,02,66.43,66.66,64.0,64.65,64.11,5200,35954600,2324604975.0
2021-11-08,VALE3,02,64.4,68.15,64.33,66.81,67.6,82674,27722000,1852197905.0
2021-11-09,VALE3,02,67.25,67.3,65.23,66.05,65.94,63370,20961500,1384566542.0
2021-11-10,VALE3,02,64.61,66.28,64.4,65.48,65.69,59394,22492600,1472973161.0
2021-11-11,VALE3,02,68.46,69.26,67.6,68.4,68.01,81315,28795100,1969625859.0
2021-11-12,VALE3,02,67.18,69.59,67.01,68.56,68.3,67827,24542500,1682834774.0
2021-11-16,VALE3,02,68.0,68.07,66.19,66.8,66.33,53752,17207900,1149578586.0
2021-11-17,VALE3,02,66.99,67.71,65.0,65.98,65.0,59986,25487600,1681884693.0
2021-11-18,VALE3,02,64.21,64.65,61.85,62.79,62.33,4878,51343900,3224038065.0
2021-11-19,VALE3,02,63.27,64.8,62.81,63.97,64.03,66716,26849500,1717664671.0
2021-11-22,VALE3,02,65.55,69.02,65.15,67.73,67.59,97636,44693500,3027526267.0
2021-11-23,VALE3,02,70.61,71.97,69.21,70.16,69.37,89333,30391600,2132403047.0
2021-11-24,VALE3,02,70.11,70.98,69.51,70.41,70.98,60426,20764100,1462072285.0
2021-11-25,VALE3,02,71.29,71.29,69.8,70.3,70.5,52869,17199200,1209203416.0
2021-11-26,VALE3,02,67.5,69.36,67.5,68.25,68.64,67247,22664200,1546845731.0
