epoch,accuracy,learning_rate,loss,val_accuracy,val_learning_rate,val_loss
0,0.49546390771865845,9.999999747378752e-05,0.6942241191864014,NA,NA,NA
1,0.4921649396419525,9.999999747378752e-05,0.6936512589454651,NA,NA,NA
2,0.4956701099872589,9.999999747378752e-05,0.693781852722168,NA,NA,NA
3,0.4987628757953644,9.999999747378752e-05,0.693376898765564,NA,NA,NA
4,0.4991752505302429,9.999999747378752e-05,0.693492591381073,NA,NA,NA
5,0.5061855912208557,9.999999747378752e-05,0.6930140852928162,NA,NA,NA
6,0.4915463924407959,9.999999747378752e-05,0.6934769749641418,NA,NA,NA
7,0.4962886571884155,9.999999747378752e-05,0.6931787133216858,NA,NA,NA
8,0.5055670142173767,9.999999747378752e-05,0.6928346157073975,NA,NA,NA
9,0.5057731866836548,9.999999747378752e-05,0.6932782530784607,NA,NA,NA
10,0.507010281085968,9.999999747378752e-05,0.6931156516075134,NA,NA,NA
11,0.5086597800254822,9.999999747378752e-05,0.6928071975708008,NA,NA,NA
12,0.5105154514312744,9.999999747378752e-05,0.6929795742034912,NA,NA,NA
13,0.515051543712616,9.999999747378752e-05,0.6929381489753723,NA,NA,NA
14,0.5068041086196899,4.999999873689376e-05,0.6927380561828613,NA,NA,NA
15,0.5090721845626831,4.999999873689376e-05,0.6928068995475769,NA,NA,NA
16,0.5160824656486511,4.999999873689376e-05,0.6927404999732971,NA,NA,NA
17,0.5101031064987183,4.999999873689376e-05,0.692773163318634,NA,NA,NA
18,0.5160824656486511,4.999999873689376e-05,0.6922960877418518,NA,NA,NA
19,0.5185567140579224,4.999999873689376e-05,0.6924175024032593,NA,NA,NA
20,0.508041262626648,4.999999873689376e-05,0.6926950812339783,NA,NA,NA
21,0.5129896998405457,4.999999873689376e-05,0.6925644874572754,NA,NA,NA
22,0.5177319645881653,4.999999873689376e-05,0.692476749420166,NA,NA,NA
23,0.515876293182373,4.999999873689376e-05,0.6923796534538269,NA,NA,NA
24,0.5197938084602356,2.499999936844688e-05,0.6922950744628906,NA,NA,NA
25,0.5103092789649963,2.499999936844688e-05,0.6924804449081421,NA,NA,NA
26,0.5185567140579224,2.499999936844688e-05,0.6922699809074402,NA,NA,NA
27,0.5123711228370667,2.499999936844688e-05,0.6925162076950073,NA,NA,NA
28,0.5181443095207214,2.499999936844688e-05,0.6924690008163452,NA,NA,NA
29,0.515051543712616,1.249999968422344e-05,0.6923655867576599,NA,NA,NA
30,0.5167010426521301,1.249999968422344e-05,0.6921099424362183,NA,NA,NA
31,0.5154638886451721,1.249999968422344e-05,0.6921935677528381,NA,NA,NA
32,0.5138144493103027,1.249999968422344e-05,0.6924297213554382,NA,NA,NA
33,0.5191752314567566,1.249999968422344e-05,0.6922170519828796,NA,NA,NA
34,0.523298978805542,1.249999968422344e-05,0.6918255686759949,NA,NA,NA
35,0.5216494798660278,1.249999968422344e-05,0.6922457218170166,NA,NA,NA
36,0.507422685623169,1.249999968422344e-05,0.6926206350326538,NA,NA,NA
37,0.5142267942428589,1.249999968422344e-05,0.6922529935836792,NA,NA,NA
38,0.515051543712616,1.249999968422344e-05,0.6923341751098633,NA,NA,NA
39,0.5193814635276794,1.249999968422344e-05,0.692081868648529,NA,NA,NA
40,0.5125772953033447,6.24999984211172e-06,0.6924054026603699,NA,NA,NA
41,0.5119587779045105,6.24999984211172e-06,0.6922447085380554,NA,NA,NA
42,0.5239174962043762,6.24999984211172e-06,0.6917813420295715,NA,NA,NA
43,0.5127835273742676,6.24999984211172e-06,0.6923022866249084,NA,NA,NA
44,0.5105154514312744,6.24999984211172e-06,0.6925645470619202,NA,NA,NA
45,0.5193814635276794,3.12499992105586e-06,0.692113995552063,NA,NA,NA
46,0.5160824656486511,3.12499992105586e-06,0.6925498843193054,NA,NA,NA
47,0.515670120716095,3.12499992105586e-06,0.6923868656158447,NA,NA,NA
48,0.5183505415916443,3.12499992105586e-06,0.6922910213470459,NA,NA,NA
49,0.5167010426521301,3.12499992105586e-06,0.6923961043357849,NA,NA,NA
50,0.5111340284347534,1.56249996052793e-06,0.6926025152206421,NA,NA,NA
51,0.5140206217765808,1.56249996052793e-06,0.692557156085968,NA,NA,NA
52,0.5199999809265137,1.56249996052793e-06,0.6921809315681458,NA,NA,NA
